# SDG Philippines Province Data
# Format: Province|Region|SDG1|SDG2|SDG3|SDG4|SDG5|SDG6|SDG7|SDG8|SDG9|SDG10|SDG11|SDG12|SDG13|SDG14|SDG15|SDG16|SDG17
# Indicators: PovertyIncidence|FoodInsecurityRate|VulnerableHealthScore|LiteracyRate|GenderInequalityScore|CleanWaterVulnerabilityScore|EnergyCapacityScore|LaborForceParticipationRate|InfrastructureCapacityScore|EconomicConstraintsScore|InformalSettlersRate|GarbagePickupRate|MultiHazardExposureScore|MarineProtectedArea|EnvironmentalStressScore|OrganizedViolenceRate|InternetAccessRate
# N/A = No data available | EXCL. = Excluded from dashboard
# Total provinces: 84

Abra|CAR|15|67|0.467|98.72|0.215|0.639|0.681|71.84|0.553|0.392|0.5|16.73|0.532|EXCL.|0.689|19.18|3.07
Agusan Del Norte|XIII|19.37|70|0.541|98.63|0.498|0.378|0.667|64.2|0.62|0.469|2.7|30.98|0.711|EXCL.|0.3|12.48|5.74
Agusan Del Sur|XIII|30.4|75|0.63|97.21|0.391|0.434|0.381|69.44|0.409|0.703|2.5|13.97|0.741|EXCL.|0.229|8.31|1.7
Aklan|VI|8.76|73|0.523|98.08|0.276|0.378|0.701|62.62|0.634|0.271|0.8|10.4|0.644|EXCL.|0.585|2.53|4.24
Albay|V|14.78|55|0.474|99.24|0.439|0.421|0.716|62.69|0.584|0.434|3.1|27.85|0.73|EXCL.|0.679|7.47|4.89
Antique|VI|13.21|N/A|0.618|97.66|0.28|0.256|0.542|58.36|0.528|0.402|1|7.89|0.599|EXCL.|0.612|3.66|1.96
Apayao|CAR|15.96|N/A|0.535|96.5|0.31|0.53|0.403|76.13|0.47|0.355|1.3|2.26|0.562|EXCL.|0.595|4.09|1.6
Aurora|III|11.5|70|0.42|99.13|0.486|0.392|0.607|62.25|0.545|0.386|1.2|8.3|0.644|EXCL.|0.646|3.15|2.32
Basilan|BARMM|65.7|N/A|0.582|85.58|0.979|0.995|0.126|55.11|0.211|0.958|4.1|4.86|0.182|EXCL.|0.51|38.95|0.46
Bataan|III|5.74|61|0.342|99.42|0.307|0.3|0.933|62.88|0.7|0.152|2|69.32|0.677|EXCL.|0.426|5.08|11.36
Batanes|II|6.62|N/A|0.232|99.28|0.022|0|0.937|90.71|0.686|0.263|0.2|78.15|0.171|EXCL.|0.651|0|7.96
Batangas|IV-A|8.41|56|0.255|99.36|0.228|0.454|0.928|63.14|0.68|0.204|1.8|33.83|0.583|EXCL.|0.593|6.78|9.78
Benguet|CAR|4.28|64|0.249|98.36|0.324|0.494|0.954|62.34|0.726|0.123|0.8|58.32|0.658|EXCL.|0.478|10.88|12.48
Biliran|VIII|13.76|N/A|0.507|98.07|0.427|0.231|0.669|59.67|0.629|0.494|1.4|7.35|0.546|EXCL.|0.445|0|3.44
Bohol|VII|15.23|75|0.503|98.38|0.348|0.432|0.551|64.28|0.592|0.444|1|17.88|0.629|EXCL.|0.424|5.43|3.98
Bukidnon|X|22.18|78|0.46|96.46|0.618|0.525|0.403|64.12|0.413|0.545|1.6|16|0.504|EXCL.|0.285|10.65|2.61
Bulacan|III|3.45|36|0.281|99.58|0.274|0.285|0.96|64.6|0.673|0.108|1.4|66.53|0.783|EXCL.|0.509|22.69|11.99
Cagayan|II|12.56|60|0.37|98.48|0.391|0.399|0.722|65.99|0.57|0.289|1.2|17.27|0.871|EXCL.|0.611|10.2|2.95
Camarines Norte|V|22.41|N/A|0.563|99.29|0.53|0.541|0.661|60.32|0.613|0.587|2|22.78|0.603|EXCL.|0.402|10.86|3.05
Camarines Sur|V|20.62|74|0.435|99.22|0.478|0.433|0.644|59.2|0.535|0.576|1.9|20.6|0.762|EXCL.|0.372|5.6|4.71
Camiguin|X|17.34|63|0.485|99.26|0.387|0.106|0.567|64.34|0.719|0.49|0.7|16.88|0.351|EXCL.|0.358|0|2.94
Capiz|VI|4.09|70|0.396|97.97|0.256|0.299|0.542|68.39|0.605|0.189|1.9|16.39|0.679|EXCL.|0.364|2.93|2.99
Catanduanes|V|14.39|75|0.586|98.79|0.341|0.576|0.667|65.93|0.585|0.521|1.3|18.56|0.586|EXCL.|0.344|4.1|4.58
Cavite|IV-A|3.71|71|0.288|99.66|0.261|0.26|0.974|64.33|0.696|0.075|2.1|82.36|0.789|EXCL.|0.473|5.07|16.71
Cebu|VII|11.11|50|0.452|98.55|0.354|0.808|0.765|63.54|0.665|0.309|2.8|46.54|0.841|EXCL.|0.646|10.38|10.8
City of Isabela|IX|40.63|N/A|0.582|93.87|0.583|0.585|0.572|55.62|0.396|0.719|4.3|34.52|0.084|EXCL.|0|23.77|2.4
Compostela Valley (Davao De Oro)|XI|18.51|61|0.484|98.16|0.554|0.07|0.507|64.8|0.465|0.424|2.2|24|0.584|EXCL.|0.364|15.8|1.16
Cotabato|XII|23.49|70|0.401|95.55|0.518|0.43|0.336|62.09|0.452|0.516|2.2|9.88|0.506|EXCL.|0.362|19.92|1.59
Cotabato City|XII|35.53|N/A|0.46|96.3|0.47|0.244|0.772|64.92|0.613|0.63|6.5|54.71|0.539|EXCL.|0.145|22.9|4.6
Davao Del Norte|XI|10.21|68|0.404|98.22|0.477|0.516|0.675|60.95|0.55|0.266|1.7|40.47|0.53|EXCL.|0.396|5.76|3.23
Davao Del Sur|XI|8.07|68|0.409|98.15|0.543|0.243|0.668|64.54|0.59|0.2|3.1|50.01|0.451|EXCL.|0.352|7.54|8.44
Davao Occidental|XI|30.87|N/A|0.431|90.33|0.802|0.729|0.668|N/A|0.385|0.685|1.5|50.01|0.308|EXCL.|0.315|2.42|8.44
Davao Oriental|XI|27.7|72|0.439|97.35|0.683|0.036|0.426|65|0.412|0.598|2.3|19.09|0.552|EXCL.|0.308|8.72|1.95
Dinagat Islands|XIII|26.63|N/A|0.68|98.54|0.407|0.326|0.432|N/A|0.431|0.599|1.5|20.06|0.409|EXCL.|0.44|0|1.17
Eastern Samar|VIII|40.94|N/A|0.504|97.31|0.421|0.499|0.633|67.26|0.511|0.816|1.5|27.05|0.642|EXCL.|0.512|2.46|2.48
Guimaras|VI|6.62|55|0.331|99.31|0.346|0.26|0.377|52.22|0.491|0.209|0.8|8.99|0.352|EXCL.|0.483|1.1|2.14
Ifugao|CAR|9.83|75|0.362|95.68|0.583|0.619|0.532|70.14|0.516|0.31|0.3|10.01|0.632|EXCL.|0.472|4.33|0.84
Ilocos Norte|I|3.2|58|0.295|98.99|0.397|0.313|0.928|67.92|0.722|0.148|0.5|25.21|0.756|EXCL.|0.731|6.77|8.2
Ilocos Sur|I|5.38|53|0.358|99.1|0.346|0.215|0.872|63.13|0.712|0.19|0.4|18.22|0.694|EXCL.|0.586|11.33|6.1
Iloilo|VI|11.96|70|0.432|98.79|0.41|0.381|0.628|62.6|0.684|0.291|2.4|23.95|0.821|EXCL.|0.65|4.53|6.18
